Customer_ID,Gender,Age,Age_Group,Married,State,Number_of_Referrals,Tenure_in_Months,Tenure_Group,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Monthly_Charge_Category,Total_Charges,Total_Charges_Category,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Long_Distance_Charge_Category,Total_Revenue,Revenue_Category,Customer_Status,Churn_Flag,Churn_Category,Churn_Reason
19877-DEL,Male,35,Adult,No,Delhi,7,27,Regular Customer,No Deal,Yes,No,Yes,Cable,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,65.6,Medium,593.3,Low,0,0,381.51,Low,974.81,Low Revenue,Stayed,0,Not Churned,Not Churned
58353-MAH,Female,45,Adult,Yes,Maharashtra,14,13,Regular Customer,No Deal,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,-4,Low,542.4,Low,38.33,10,96.21,Low,610.28,Low Revenue,Stayed,0,Not Churned,Not Churned
25063-WES,Male,51,Senior,No,West Bengal,4,35,Regular Customer,Deal 5,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,Medium,280.85,Low,0,0,134.6,Low,415.45,Low Revenue,Churned,1,Competitor,Competitor had better devices
59787-KAR,Male,79,Senior,No,Karnataka,3,21,Regular Customer,Deal 4,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98,Medium,1237.85,Medium,0,0,361.66,Low,1599.51,Low Revenue,Churned,1,Dissatisfaction,Product dissatisfaction
28544-TAM,Female,80,Senior,No,Tamil Nadu,3,8,New Customer,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.9,Medium,267.4,Low,0,0,22.14,Low,289.54,Low Revenue,Churned,1,Dissatisfaction,Network reliability
32750-TEL,Male,24,Young,No,Telangana,9,2,New Customer,Deal 5,Yes,No,Yes,Cable,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69.4,Medium,571.45,Low,0,0,150.93,Low,722.38,Low Revenue,Stayed,0,Not Churned,Not Churned
84741-MAH,Female,66,Senior,Yes,Maharashtra,9,23,Regular Customer,Deal 1,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.7,High,7904.25,High,0,0,707.16,Medium,8611.41,High Revenue,Stayed,0,Not Churned,Not Churned
65618-GUJ,Male,51,Senior,Yes,Gujarat,12,24,Regular Customer,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,84.65,Medium,5377.8,High,0,20,816.48,Medium,6214.28,High Revenue,Stayed,0,Not Churned,Not Churned
64233-GUJ,Female,63,Senior,No,Gujarat,4,10,New Customer,Deal 5,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,48.2,Low,340.35,Low,0,0,73.71,Low,414.06,Low Revenue,Stayed,0,Not Churned,Not Churned
23612-UTT,Female,41,Adult,No,Uttar Pradesh,3,1,New Customer,No Deal,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90.45,Medium,5957.9,High,0,0,1849.9,Medium,7807.8,High Revenue,Stayed,0,Not Churned,Not Churned
45397-RAJ,Male,48,Adult,Yes,Rajasthan,0,1,New Customer,No Deal,No,No Phone Service,Yes,Cable,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45.2,Low,2460.55,Medium,0,0,0,Low,2460.55,Medium Revenue,Stayed,0,Not Churned,Not Churned
53023-UTT,Male,26,Young,Yes,Uttar Pradesh,6,22,Regular Customer,No Deal,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.8,High,8456.75,High,0,0,1152.72,Medium,9609.47,High Revenue,Stayed,0,Not Churned,Not Churned
13717-UTT,Male,56,Senior,Yes,Uttar Pradesh,15,26,Regular Customer,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,Medium,351.5,Low,0,0,93.25,Low,444.75,Low Revenue,Stayed,0,Not Churned,Not Churned
71897-MAH,Female,36,Adult,Yes,Maharashtra,8,6,New Customer,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101.3,High,7261.25,High,0,0,162,Low,7423.25,High Revenue,Stayed,0,Not Churned,Not Churned
15776-UTT,Female,38,Adult,Yes,Uttar Pradesh,1,19,Regular Customer,No Deal,No,No Phone Service,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.05,Low,2560.1,Medium,0,0,0,Low,2560.1,Medium Revenue,Stayed,0,Not Churned,Not Churned
56731-BIH,Female,53,Senior,Yes,Bihar,5,8,New Customer,Deal 1,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,Medium,6849.4,High,0,0,1935.46,Medium,8784.86,High Revenue,Stayed,0,Not Churned,Not Churned
49302-GUJ,Female,47,Adult,No,Gujarat,14,4,New Customer,No Deal,No,No Phone Service,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,Medium,1993.2,Medium,0,0,0,Low,1993.2,Low Revenue,Stayed,0,Not Churned,Not Churned
93520-GUJ,Female,67,Senior,No,Gujarat,13,19,Regular Customer,Deal 5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,Medium,72.1,Low,0,0,7.77,Low,79.87,Low Revenue,Joined,0,Not Churned,Not Churned
73360-AND,Female,74,Senior,No,Andhra Pradesh,0,30,Regular Customer,No Deal,Yes,No,Yes,DSL,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,Medium,2791.5,Medium,0,0,480.15,Low,3271.65,Medium Revenue,Churned,1,Dissatisfaction,Limited range of services
36756-MAD,Male,64,Senior,Yes,Madhya Pradesh,15,33,Regular Customer,No Deal,No,No Phone Service,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,Low,25.1,Low,0,0,0,Low,25.1,Low Revenue,Churned,1,Competitor,Competitor made better offer
11925-MAH,Female,78,Senior,Yes,Maharashtra,12,12,Regular Customer,No Deal,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Bank Withdrawal,25.2,Low,1306.3,Medium,0,0,1571.5,Medium,2877.8,Medium Revenue,Stayed,0,Not Churned,Not Churned
87346-MAD,Female,29,Young,Yes,Madhya Pradesh,12,20,Regular Customer,No Deal,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,Medium,1215.6,Medium,0,0,566.28,Medium,1781.88,Low Revenue,Churned,1,Other,Don't know
86818-MAH,Female,29,Young,Yes,Maharashtra,8,22,Regular Customer,Deal 4,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,Medium,1849.95,Medium,0,0,802.93,Medium,2652.88,Medium Revenue,Stayed,0,Not Churned,Not Churned
57256-BIH,Female,18,Young,No,Bihar,9,7,New Customer,No Deal,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,19.85,Low,57.2,Low,0,0,9.36,Low,66.56,Low Revenue,Joined,0,Not Churned,Not Churned
65431-CHH,Female,31,Adult,No,Chhattisgarh,12,24,Regular Customer,Deal 5,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,20.35,Low,76.35,Low,0,0,49.72,Low,126.07,Low Revenue,Churned,1,Price,Long distance charges
13829-PUN,Female,34,Adult,Yes,Punjab,12,26,Regular Customer,No Deal,No,No Phone Service,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,Low,30.5,Low,0,0,0,Low,30.5,Low Revenue,Churned,1,Attitude,Attitude of service provider
19279-UTT,Female,35,Adult,No,Uttar Pradesh,14,18,Regular Customer,No Deal,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,High,5656.75,High,0,20,1927.2,Medium,7603.95,High Revenue,Stayed,0,Not Churned,Not Churned
27129-TAM,Male,44,Adult,Yes,Tamil Nadu,0,23,Regular Customer,No Deal,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,20.4,Low,1090.6,Medium,0,0,1063.8,Medium,2154.4,Medium Revenue,Stayed,0,Not Churned,Not Churned
81327-JHA,Female,69,Senior,Yes,Jharkhand,6,3,New Customer,Deal 3,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Bank Withdrawal,19.6,Low,471.85,Low,21.25,0,980.2,Medium,1430.8,Low Revenue,Stayed,0,Not Churned,Not Churned
42012-UTT,Female,49,Adult,No,Uttar Pradesh,8,2,New Customer,No Deal,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,19.7,Low,1396.9,Medium,0,0,2648.91,High,4045.81,Medium Revenue,Stayed,0,Not Churned,Not Churned
79321-MAH,Female,22,Young,Yes,Maharashtra,4,8,New Customer,Deal 3,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,Medium,3247.55,Medium,0,0,1591.37,Medium,4838.92,Medium Revenue,Stayed,0,Not Churned,Not Churned
82811-HAR,Female,46,Adult,Yes,Haryana,2,18,Regular Customer,Deal 2,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Bank Withdrawal,20.45,Low,900.9,Low,0,0,2429.42,High,3330.32,Medium Revenue,Stayed,0,Not Churned,Not Churned
36568-HAR,Male,26,Young,Yes,Haryana,7,8,New Customer,No Deal,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2,Low,7942.15,High,0,0,2888.82,High,10830.97,High Revenue,Stayed,0,Not Churned,Not Churned
62683-UTT,Female,30,Adult,No,Uttar Pradesh,12,20,Regular Customer,No Deal,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Bank Withdrawal,20.55,Low,1343.4,Medium,30.53,0,1549.04,Medium,2861.91,Medium Revenue,Stayed,0,Not Churned,Not Churned
18223-MAD,Male,32,Adult,No,Madhya Pradesh,14,2,New Customer,No Deal,No,No Phone Service,Yes,Cable,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,Low,825.4,Low,0,0,0,Low,825.4,Low Revenue,Stayed,0,Not Churned,Not Churned
41111-MAH,Female,32,Adult,No,Maharashtra,10,8,New Customer,No Deal,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Bank Withdrawal,25.1,Low,1070.15,Medium,0,0,1317.52,Medium,2387.67,Medium Revenue,Stayed,0,Not Churned,Not Churned
74542-MAH,Female,41,Adult,No,Maharashtra,15,16,Regular Customer,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,Medium,4959.6,Medium,0,0,279.4,Low,5239,High Revenue,Stayed,0,Not Churned,Not Churned
18842-HAR,Male,56,Senior,Yes,Haryana,2,30,Regular Customer,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,Medium,5597.65,High,0,0,967.01,Medium,6564.66,High Revenue,Stayed,0,Not Churned,Not Churned
12210-DEL,Female,52,Senior,No,Delhi,0,31,Regular Customer,No Deal,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,20.3,Low,224.5,Low,0,0,231.36,Low,455.86,Low Revenue,Stayed,0,Not Churned,Not Churned
